,Symbol,Name,Sector,Industry,Market
1290,EDBLW,Edible Garden AG Incorporated Warrant,Industrials,Agricultural Chemicals,NASDAQ
1291,EDIT,Editas Medicine Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,NASDAQ
1292,EDRY,EuroDry Ltd. Common Shares ,Consumer Discretionary,Marine Transportation,NASDAQ
1293,EDSA,Edesa Biotech Inc. Common Shares,Health Care,Pharmaceuticals and Biotechnology,NASDAQ
1294,EDTK,Skillful Craftsman Education Technology Limited Ordinary Share,Real Estate,Other Consumer Services,NASDAQ
1295,EDTX,EdtechX Holdings Acquisition Corp. II Class A common stock,Industrials,Consumer Electronics/Appliances,NASDAQ
1296,EDTXU,EdtechX Holdings Acquisition Corp. II Unit,Industrials,Consumer Electronics/Appliances,NASDAQ
1297,EDTXW,EdtechX Holdings Acquisition Corp. II Warrant,Industrials,Consumer Electronics/Appliances,NASDAQ
1298,EDUC,Educational Development Corporation Common Stock,Consumer Discretionary,Books,NASDAQ
1299,EEFT,Euronet Worldwide Inc. Common Stock,Technology,EDP Services,NASDAQ
1300,EEIQ,EpicQuest Education Group International Limited Common Stock,Real Estate,Other Consumer Services,NASDAQ
1301,EFHT,EF Hutton Acquisition Corporation I Common Stock,Industrials,Consumer Electronics/Appliances,NASDAQ
1303,EFOI,Energy Focus Inc. Common Stock,Consumer Discretionary,Building Products,NASDAQ
1304,EFSC,Enterprise Financial Services Corporation Common Stock,Finance,Major Banks,NASDAQ
1305,EFSCP,Enterprise Financial Services Corporation Depositary Shares Each Representing a 1/40th Interest in a Share of 5% Fixed Rate Non-Cumulative Perpetual Preferred Stock Series A,Finance,Major Banks,NASDAQ
1306,EFTR,eFFECTOR Therapeutics Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,NASDAQ
1307,EGAN,eGain Corporation Common Stock,Technology,Computer Software: Prepackaged Software,NASDAQ
1308,EGBN,Eagle Bancorp Inc. Common Stock,Finance,Major Banks,NASDAQ
1309,EGHT,8x8 Inc Common Stock,Technology,EDP Services,NASDAQ
1310,EGIO,Edgio Inc. Common Stock,Technology,Interactive Media,NASDAQ
1311,EGLX,Enthusiast Gaming Holdings Inc. Common Stock,Miscellaneous,Other Pharmaceuticals,NASDAQ
1312,EGRX,Eagle Pharmaceuticals Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,NASDAQ
1313,EH,EHang Holdings Limited ADS,Consumer Discretionary,Air Freight/Delivery Services,NASDAQ
1314,EHTH,eHealth Inc. Common Stock,Finance,Specialty Insurers,NASDAQ
1315,EIGR,Eiger BioPharmaceuticals Inc. Common Stock,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),NASDAQ
1316,EJH,E-Home Household Service Holdings Limited Ordinary Shares,Consumer Discretionary,Other Consumer Services,NASDAQ
1317,EKSO,Ekso Bionics Holdings Inc. Common Stock,Health Care,Medical/Dental Instruments,NASDAQ
1319,ELDN,Eledon Pharmaceuticals Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,NASDAQ
1320,ELEV,Elevation Oncology Inc. Common stock,Health Care,Biotechnology: Pharmaceutical Preparations,NASDAQ
1321,ELOX,Eloxx Pharmaceuticals Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,NASDAQ
1322,ELSE,Electro-Sensors Inc. Common Stock,Industrials,Industrial Machinery/Components,NASDAQ
1323,ELTK,Eltek Ltd. Ordinary Shares,Technology,Electrical Products,NASDAQ
1324,ELYM,Eliem Therapeutics Inc Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,NASDAQ
1325,ELYS,Elys Game Technology Corp. Common Stock,Consumer Discretionary,Movies/Entertainment,NASDAQ
1326,EM,Smart Share Global Limited American Depositary Shares,Consumer Discretionary,Other Consumer Services,NASDAQ
1327,EMBC,Embecta Corp. Common Stock,Health Care,Medical/Dental Instruments,NASDAQ
1328,EMBK,Embark Technology Inc. Common Stock,Technology,Computer Software: Prepackaged Software,NASDAQ
1329,EMBKW,Embark Technology Inc. Warrants,Technology,Computer Software: Prepackaged Software,NASDAQ
1330,EMCG,Embrace Change Acquisition Corp Ordinary Shares,Finance,Blank Checks,NASDAQ
1331,EMCGU,Embrace Change Acquisition Corp Unit,Finance,Blank Checks,NASDAQ
1332,EMKR,EMCORE Corporation Common Stock,Technology,Semiconductors,NASDAQ
1333,EML,Eastern Company (The) Common Stock,Industrials,Industrial Specialties,NASDAQ
1334,EMLD,FTAC Emerald Acquisition Corp. Class A Common Stock,Industrials,Consumer Electronics/Appliances,NASDAQ
1335,EMLDW,FTAC Emerald Acquisition Corp. Warrant,Industrials,Consumer Electronics/Appliances,NASDAQ
1336,ENCP,Energem Corp Class A Ordinary Shares,Energy,Industrial Machinery/Components,NASDAQ
1337,ENCPU,Energem Corp Unit,Finance,Blank Checks,NASDAQ
1338,ENER,Accretion Acquisition Corp. Common Stock,Industrials,Consumer Electronics/Appliances,NASDAQ
1339,ENG,ENGlobal Corporation Common Stock,Consumer Discretionary,Military/Government/Technical,NASDAQ
1341,ENLV,Enlivex Therapeutics Ltd. Ordinary Shares,Health Care,Biotechnology: Pharmaceutical Preparations,NASDAQ
1342,ENOB,Enochian Biosciences Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,NASDAQ
1343,ENPH,Enphase Energy Inc. Common Stock,Technology,Electrical Products,NASDAQ
1344,ENSC,Ensysce Biosciences Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,NASDAQ
1345,ENSG,The Ensign Group Inc. Common Stock,Health Care,Hospital/Nursing Management,NASDAQ
1346,ENTA,Enanta Pharmaceuticals Inc. Common Stock,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,NASDAQ
1347,ENTF,Enterprise 4.0 Technology Acquisition Corp. Class A Ordinary Shares,Finance,Blank Checks,NASDAQ
1348,ENTFU,Enterprise 4.0 Technology Acquisition Corp. Unit,Finance,Blank Checks,NASDAQ
1349,ENTFW,Enterprise 4.0 Technology Acquisition Corp. Warrant,Finance,Blank Checks,NASDAQ
1350,ENTG,Entegris Inc. Common Stock,Technology,Semiconductors,NASDAQ
1351,ENTX,Entera Bio Ltd. Ordinary Shares,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),NASDAQ
1352,ENTXW,Entera Bio Ltd. Warrant,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),NASDAQ
1353,ENVB,Enveric Biosciences Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,NASDAQ
1354,ENVX,Enovix Corporation Common Stock,Industrials,Industrial Machinery/Components,NASDAQ
1355,EOLS,Evolus Inc. Common Stock,Health Care, Medicinal Chemicals and Botanical Products ,NASDAQ
1356,EOSE,Eos Energy Enterprises Inc. Class A Common Stock,Technology,Electronic Components,NASDAQ
1357,EOSEW,Eos Energy Enterprises Inc. Warrant,Technology,Electronic Components,NASDAQ
1358,EPIX,ESSA Pharma Inc. Common Stock,Health Care,Pharmaceuticals and Biotechnology,NASDAQ
1359,EPOW,Sunrise New Energy Co. Ltd Ordinary Shares,Consumer Discretionary,Business Services,NASDAQ
1361,EQ,Equillium Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,NASDAQ
1362,EQBK,Equity Bancshares Inc. Class A Common Stock,Finance,Finance: Consumer Services,NASDAQ
1363,EQIX,Equinix Inc. Common Stock REIT,Real Estate,Real Estate Investment Trusts,NASDAQ
1364,EQRX,EQRx Inc.  Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,NASDAQ
1365,EQRXW,EQRx Inc. Warrant,Health Care,Biotechnology: Pharmaceutical Preparations,NASDAQ
1366,ERAS,Erasca Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,NASDAQ
1367,ERES,East Resources Acquisition Company Class A Common Stock,Industrials,Consumer Electronics/Appliances,NASDAQ
1368,ERESU,East Resources Acquisition Company Unit,Industrials,Consumer Electronics/Appliances,NASDAQ
1369,ERESW,East Resources Acquisition Company Warrant,Industrials,Consumer Electronics/Appliances,NASDAQ
1370,ERIC,Ericsson American Depositary Shares,Technology,Computer Software: Prepackaged Software,NASDAQ
1371,ERIE,Erie Indemnity Company Class A Common Stock,Finance,Specialty Insurers,NASDAQ
1372,ERII,Energy Recovery Inc. Common Stock,Technology,Industrial Machinery/Components,NASDAQ
1373,ERNA,Eterna Therapeutics Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,NASDAQ
1374,ERYP,Erytech Pharma S.A. American Depositary Shares,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),NASDAQ
1375,ESAC,ESGEN Acquisition Corporation Class A Ordinary Shares,Finance,Blank Checks,NASDAQ
1376,ESACW,ESGEN Acquisition Corporation Warrants,Finance,Blank Checks,NASDAQ
1377,ESCA,Escalade Incorporated Common Stock,Consumer Discretionary,Recreational Games/Products/Toys,NASDAQ
1378,ESEA,Euroseas Ltd. Common Stock (Marshall Islands),Consumer Discretionary,Marine Transportation,NASDAQ
1379,ESGR,Enstar Group Limited Ordinary Shares,Finance,Property-Casualty Insurers,NASDAQ
1380,ESGRO,Enstar Group Limited Depository Shares 7.00% Perpetual Non-Cumulative Preference Shares Series E,Finance,Property-Casualty Insurers,NASDAQ
1381,ESGRP,Enstar Group Limited Depositary Shares Each Representing 1/1000th of an interest in Preference Shares,Finance,Property-Casualty Insurers,NASDAQ
1382,ESLT,Elbit Systems Ltd. Ordinary Shares,Industrials,Military/Government/Technical,NASDAQ
1383,ESOA,Energy Services of America Corporation Common Stock,Industrials,Water Sewer Pipeline Comm & Power Line Construction,NASDAQ
1384,ESPR,Esperion Therapeutics Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,NASDAQ
1385,ESQ,Esquire Financial Holdings Inc. Common Stock,Finance,Commercial Banks,NASDAQ
1386,ESSA,ESSA Bancorp Inc. Common Stock,Finance,Banks,NASDAQ
1387,ESTA,Establishment Labs Holdings Inc. Common Shares,Health Care,Industrial Specialties,NASDAQ
1388,ETNB,89bio Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,NASDAQ
1389,ETON,Eton Pharmaceuticals Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,NASDAQ
1390,ETSY,Etsy Inc. Common Stock,Consumer Discretionary,Catalog/Specialty Distribution,NASDAQ
1391,EUCR,Eucrates Biomedical Acquisition Corp. Ordinary Shares,Finance,Blank Checks,NASDAQ
1392,EUCRW,Eucrates Biomedical Acquisition Corp. Warrant,Finance,Blank Checks,NASDAQ
1393,EUDA,EUDA Health Holdings Limited Ordinary Shares,Finance,Blank Checks,NASDAQ
1395,EVAX,Evaxion Biotech A/S American Depositary Share,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),NASDAQ
1396,EVBG,Everbridge Inc. Common Stock,Technology,Retail: Computer Software & Peripheral Equipment,NASDAQ
1397,EVCM,EverCommerce Inc. Common Stock,Technology,EDP Services,NASDAQ
1398,EVER,EverQuote Inc. Class A Common Stock,Technology,EDP Services,NASDAQ
1399,EVGN,Evogene Ltd Ordinary Shares,Industrials,Agricultural Chemicals,NASDAQ
1400,EVGO,EVgo Inc. Class A Common Stock,Consumer Discretionary,Catalog/Specialty Distribution,NASDAQ
1401,EVGOW,EVgo Inc. Warrants,Consumer Discretionary,Catalog/Specialty Distribution,NASDAQ
1402,EVGR,Evergreen Corporation Class A Ordinary Share,Finance,Blank Checks,NASDAQ
1403,EVGRW,Evergreen Corporation Warrant,Finance,Blank Checks,NASDAQ
1404,EVLO,Evelo Biosciences Inc. Common Stock,Health Care, Medicinal Chemicals and Botanical Products ,NASDAQ
1405,EVLV,Evolv Technologies Holdings Inc. Class A Common Stock,Technology,Security Systems Services,NASDAQ
1406,EVLVW,Evolv Technologies Holdings Inc. Warrant,Technology,Security Systems Services,NASDAQ
1407,EVO,Evotec SE American Depositary Shares,Health Care,Biotechnology: Pharmaceutical Preparations,NASDAQ
1408,EVOJ,Evo Acquisition Corp. Class A Common Stock,Industrials,Consumer Electronics/Appliances,NASDAQ
1409,EVOJW,Evo Acquisition Corp. Warrant,Industrials,Consumer Electronics/Appliances,NASDAQ
1410,EVOK,Evoke Pharma Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,NASDAQ
1411,EVOP,EVO Payments Inc. Class A Common Stock,Technology,EDP Services,NASDAQ
1412,EVRG,Evergy Inc. Common Stock,Utilities,Power Generation,NASDAQ
1413,EVTV,Envirotech Vehicles Inc. Common Stock,Consumer Discretionary,Auto Manufacturing,NASDAQ
1414,EWBC,East West Bancorp Inc. Common Stock,Finance,Commercial Banks,NASDAQ
1415,EWCZ,European Wax Center Inc. Class A Common Stock,Consumer Discretionary,Package Goods/Cosmetics,NASDAQ
1416,EWTX,Edgewise Therapeutics Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,NASDAQ
1417,EXAI,Exscientia Plc American Depositary Shares,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),NASDAQ
1418,EXAS,Exact Sciences Corporation Common Stock,Health Care,Biotechnology: Commercial Physical & Biological Resarch,NASDAQ
1419,EXC,Exelon Corporation Common Stock,Utilities,Power Generation,NASDAQ
1420,EXEL,Exelixis Inc. Common Stock,Health Care,Biotechnology: Commercial Physical & Biological Resarch,NASDAQ
1421,EXFY,Expensify Inc. Class A Common Stock,Technology,Computer Software: Prepackaged Software,NASDAQ
1422,EXLS,ExlService Holdings Inc. Common Stock,Technology,Retail: Computer Software & Peripheral Equipment,NASDAQ
1423,EXPD,Expeditors International of Washington Inc. Common Stock,Consumer Discretionary,Oil Refining/Marketing,NASDAQ
1424,EXPE,Expedia Group Inc. Common Stock,Consumer Discretionary,Other Consumer Services,NASDAQ
1425,EXPI,eXp World Holdings Inc. Common Stock,Finance,Real Estate,NASDAQ
1426,EXPO,Exponent Inc. Common Stock,Consumer Discretionary,Professional Services,NASDAQ
1427,EXTR,Extreme Networks Inc. Common Stock,Telecommunications,Telecommunications Equipment,NASDAQ
1428,EYE,National Vision Holdings Inc. Common Stock,Health Care,Ophthalmic Goods,NASDAQ
1429,EYEN,Eyenovia Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,NASDAQ
1430,EYPT,EyePoint Pharmaceuticals Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,NASDAQ
1431,EZFL,EzFill Holdings Inc. Common Stock,Technology,EDP Services,NASDAQ
1432,EZGO,EZGO Technologies Ltd. Ordinary Shares,Consumer Discretionary,Motor Vehicles,NASDAQ
1433,EZPW,EZCORP Inc. Class A Non Voting Common Stock,Miscellaneous,Diversified Commercial Services,NASDAQ
1434,FA,First Advantage Corporation Common Stock,Consumer Discretionary,Business Services,NASDAQ
1435,FAMI,Farmmi Inc. Ordinary Shares,Consumer Staples,Packaged Foods,NASDAQ
1436,FANG,Diamondback Energy Inc. Common Stock,Energy,Oil & Gas Production,NASDAQ
1437,FANH,Fanhua Inc. American Depositary Shares,Finance,Specialty Insurers,NASDAQ
1438,FARM,Farmer Brothers Company Common Stock,Consumer Staples,Specialty Foods,NASDAQ
1439,FARO,FARO Technologies Inc. Common Stock,Industrials,Industrial Machinery/Components,NASDAQ
1440,FAST,Fastenal Company Common Stock,Basic Materials,Construction Materials,NASDAQ
1441,FAT,FAT Brands Inc. Class A Common Stock,Consumer Discretionary,Restaurants,NASDAQ
1442,FATBB,FAT Brands Inc. Class B Common Stock,Consumer Discretionary,Restaurants,NASDAQ
1443,FATBP,FAT Brands Inc. 8.25% Series B Cumulative Preferred Stock,Consumer Discretionary,Restaurants,NASDAQ
1444,FATBW,FAT Brands Inc. Warrant,Consumer Discretionary,Restaurants,NASDAQ
1445,FATE,Fate Therapeutics Inc. Common Stock,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),NASDAQ
1446,FATP,Fat Projects Acquisition Corp Class A Ordinary Share,Consumer Discretionary,Restaurants,NASDAQ
1447,FATPW,Fat Projects Acquisition Corp Warrant,Consumer Discretionary,Restaurants,NASDAQ
1448,FAZE,FaZe Holdings Inc. Common Stock,Industrials,Industrial Machinery/Components,NASDAQ
1449,FAZEW,FaZe Holdings Inc. Warrant,Industrials,Industrial Machinery/Components,NASDAQ
1450,FBIO,Fortress Biotech Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,NASDAQ
1451,FBIOP,Fortress Biotech Inc. 9.375% Series A Cumulative Redeemable Perpetual Preferred Stock,Health Care,Biotechnology: Pharmaceutical Preparations,NASDAQ
1452,FBIZ,First Business Financial Services Inc. Common Stock,Finance,Major Banks,NASDAQ
1453,FBMS,First Bancshares Inc.,Finance,Major Banks,NASDAQ
1454,FBNC,First Bancorp Common Stock,Finance,Major Banks,NASDAQ
1455,FBRX,Forte Biosciences Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,NASDAQ
1456,FCAP,First Capital Inc. Common Stock,Finance,Savings Institutions,NASDAQ
1457,FCBC,First Community Bankshares Inc. (VA) Common Stock,Finance,Major Banks,NASDAQ
1458,FCCO,First Community Corporation Common Stock,Finance,Major Banks,NASDAQ
1459,FCEL,FuelCell Energy Inc. Common Stock,Utilities,Electric Utilities: Central,NASDAQ
1460,FCFS,FirstCash Holdings Inc. Common Stock,Miscellaneous,Diversified Commercial Services,NASDAQ
1461,FCNCA,First Citizens BancShares Inc. Class A Common Stock,Finance,Major Banks,NASDAQ
1462,FCNCO,First Citizens BancShares Inc. 5.625% Non-Cumulative Perpetual Preferred Stock Series C,Finance,Major Banks,NASDAQ
1463,FCNCP,First Citizens BancShares Inc. Depositary Shares,Finance,Major Banks,NASDAQ
1464,FCRD,First Eagle Alternative Capital BDC Inc. Common Stock,Finance,Finance/Investors Services,NASDAQ
1465,FCUV,Focus Universal Inc. Common Stock,Industrials,Industrial Machinery/Components,NASDAQ
1466,FDBC,Fidelity D & D Bancorp Inc. Common Stock,Finance,Major Banks,NASDAQ
1467,FDMT,4D Molecular Therapeutics Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,NASDAQ
1468,FDUS,Fidus Investment Corporation Common Stock,Finance,Finance/Investors Services,NASDAQ
1469,FEAM,5E Advanced Materials Inc. Common Stock,Industrials,Major Chemicals,NASDAQ
1470,FEIM,Frequency Electronics Inc. Common Stock,Industrials,Electrical Products,NASDAQ
1471,FELE,Franklin Electric Co. Inc. Common Stock,Consumer Discretionary,Metal Fabrications,NASDAQ
1472,FEMY,Femasys Inc. Common Stock,Health Care,Medical/Dental Instruments,NASDAQ
1473,FENC,Fennec Pharmaceuticals Inc. Common Stock,Health Care,Pharmaceuticals and Biotechnology,NASDAQ
1474,FEXD,Fintech Ecosystem Development Corp. Class A Common Stock,Industrials,Consumer Electronics/Appliances,NASDAQ
1475,FEXDR,Fintech Ecosystem Development Corp. Right,Finance,Blank Checks,NASDAQ
1476,FFBC,First Financial Bancorp. Common Stock,Finance,Major Banks,NASDAQ
1477,FFIC,Flushing Financial Corporation Common Stock,Finance,Major Banks,NASDAQ
1478,FFIE,Faraday Future Intelligent Electric Inc. Common Stock,Consumer Discretionary,Auto Manufacturing,NASDAQ
1479,FFIEW,Faraday Future Intelligent Electric Inc. Warrant,Consumer Discretionary,Auto Manufacturing,NASDAQ
1480,FFIN,First Financial Bankshares Inc. Common Stock,Finance,Major Banks,NASDAQ
1481,FFIV,F5 Inc. Common Stock,Technology,EDP Services,NASDAQ
1482,FFNW,First Financial Northwest Inc. Common Stock,Finance,Banks,NASDAQ
1483,FFWM,First Foundation Inc. Common Stock,Finance,Major Banks,NASDAQ
1484,FGBI,First Guaranty Bancshares Inc. Common Stock,Finance,Major Banks,NASDAQ
1485,FGBIP,First Guaranty Bancshares Inc. 6.75% Series A Fixed-Rate Non-Cumulative Perpetual Preferred Stock,Finance,Major Banks,NASDAQ
1486,FGEN,FibroGen Inc Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,NASDAQ
1487,FGF,FG Financial Group Inc. Common Stock (NV),Finance,Property-Casualty Insurers,NASDAQ
1488,FGFPP,FG Financial Group Inc. 8.00% Cumulative Preferred Stock,Finance,Property-Casualty Insurers,NASDAQ
1489,FGI,FGI Industries Ltd. Ordinary Shares,Finance,Finance Companies,NASDAQ
1490,FGMC,FG Merger Corp. Common Stock,Industrials,Consumer Electronics/Appliances,NASDAQ
1491,FGMCU,FG Merger Corp. Unit,Industrials,Consumer Electronics/Appliances,NASDAQ
1492,FGMCW,FG Merger Corp. Warrant,Industrials,Consumer Electronics/Appliances,NASDAQ
1493,FHB,First Hawaiian Inc. Common Stock,Finance,Major Banks,NASDAQ
1494,FHLTW,Future Health ESG Corp. Warrant,Industrials,Consumer Electronics/Appliances,NASDAQ
1495,FHTX,Foghorn Therapeutics Inc. Common Stock,Health Care, Medicinal Chemicals and Botanical Products ,NASDAQ
1496,FIAC,Focus Impact Acquisition Corp. Class A Common Stock,Industrials,Consumer Electronics/Appliances,NASDAQ
1497,FIACU,Focus Impact Acquisition Corp. Unit,Industrials,Consumer Electronics/Appliances,NASDAQ
1498,FIACW,Focus Impact Acquisition Corp. Warrant,Industrials,Consumer Electronics/Appliances,NASDAQ
1499,FIBK,First Interstate BancSystem Inc. Class A Common Stock,Finance,Major Banks,NASDAQ
1500,FICV,Frontier Investment Corp Class A Ordinary Shares,Finance,Blank Checks,NASDAQ
1501,FICVU,Frontier Investment Corp Units,Finance,Blank Checks,NASDAQ
1502,FICVW,Frontier Investment Corp Warrants,Finance,Blank Checks,NASDAQ
1503,FINW,FinWise Bancorp Common Stock,Finance,Commercial Banks,NASDAQ
1504,FIP,FTAI Infrastructure Inc. Common Stock ,Industrials,Consumer Electronics/Appliances,NASDAQ
1505,FISI,Financial Institutions Inc. Common Stock,Finance,Major Banks,NASDAQ
1506,FISV,Fiserv Inc. Common Stock,Consumer Discretionary,Business Services,NASDAQ
1507,FITB,Fifth Third Bancorp Common Stock,Finance,Major Banks,NASDAQ
1508,FITBI,Fifth Third Bancorp Depositary Shares,Finance,Major Banks,NASDAQ
1509,FITBO,Fifth Third Bancorp Depositary Shares each representing a 1/1000th ownership interest in a share of Non-Cumulative Perpetual Preferred Stock Series K,Finance,Major Banks,NASDAQ
1510,FITBP,Fifth Third Bancorp Depositary Shares each representing 1/40th share of Fifth Third 6.00% Non-Cumulative Perpetual Class B Preferred Stock Series A,Finance,Major Banks,NASDAQ
1511,FIVE,Five Below Inc. Common Stock,Consumer Discretionary,Department/Specialty Retail Stores,NASDAQ
1512,FIVN,Five9 Inc. Common Stock,Technology,EDP Services,NASDAQ
1513,FIXX,Homology Medicines Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,NASDAQ
1514,FIZZ,National Beverage Corp. Common Stock,Consumer Staples,Beverages (Production/Distribution),NASDAQ
1515,FKWL,Franklin Wireless Corp. Common Stock,Utilities,Telecommunications Equipment,NASDAQ
1516,FLEX,Flex Ltd. Ordinary Shares,Technology,Electrical Products,NASDAQ
1517,FLFV,Feutune Light Acquisition Corporation Class A Common Stock,Industrials,Consumer Electronics/Appliances,NASDAQ
1518,FLFVU,Feutune Light Acquisition Corporation Unit,Industrials,Consumer Electronics/Appliances,NASDAQ
1519,FLFVW,Feutune Light Acquisition Corporation Warrant,Industrials,Consumer Electronics/Appliances,NASDAQ
1520,FLGC,Flora Growth Corp. Common Stock,Health Care,Pharmaceuticals and Biotechnology,NASDAQ
1521,FLGT,Fulgent Genetics Inc. Common Stock,Health Care,Medical Specialities,NASDAQ
1522,FLIC,First of Long Island Corporation (The) Common Stock,Finance,Major Banks,NASDAQ
1523,FLJ,FLJ Group Limited American Depositary Shares,Finance,Real Estate,NASDAQ
1524,FLL,Full House Resorts Inc. Common Stock,Consumer Discretionary,Movies/Entertainment,NASDAQ
1525,FLNC,Fluence Energy Inc. Class A Common Stock,Utilities,Power Generation,NASDAQ
1526,FLNT,Fluent Inc. Common Stock,Consumer Discretionary,EDP Services,NASDAQ
1527,FLUX,Flux Power Holdings Inc. Common Stock,Industrials,Electrical Products,NASDAQ
1528,FLWS,1-800-FLOWERS.COM Inc. Common Stock,Consumer Discretionary,Catalog/Specialty Distribution,NASDAQ
1529,FLXS,Flexsteel Industries Inc. Common Stock,Consumer Discretionary,Home Furnishings,NASDAQ
1530,FLYW,Flywire Corporation Voting Common Stock,Technology,EDP Services,NASDAQ
1531,FMAO,Farmers & Merchants Bancorp Inc. Common Stock,Finance,Savings Institutions,NASDAQ
1532,FMBH,First Mid Bancshares Inc. Common Stock,Finance,Major Banks,NASDAQ
1533,FMIV,Forum Merger IV Corporation Class A Common stock,Industrials,Consumer Electronics/Appliances,NASDAQ
1534,FMIVW,Forum Merger IV Corporation Warrant,Industrials,Consumer Electronics/Appliances,NASDAQ
1535,FMNB,Farmers National Banc Corp. Common Stock,Finance,Major Banks,NASDAQ
1536,FNCB,FNCB Bancorp Inc. Common Stock,Finance,Major Banks,NASDAQ
1537,FNCH,Finch Therapeutics Group Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,NASDAQ
1538,FNGR,FingerMotion Inc. Common Stock,Consumer Discretionary,Telecommunications Equipment,NASDAQ
1539,FNKO,Funko Inc. Class A Common Stock,Consumer Discretionary,Recreational Games/Products/Toys,NASDAQ
1540,FNLC,First Bancorp Inc  (ME) Common Stock,Finance,Major Banks,NASDAQ
1541,FNVT,Finnovate Acquisition Corp. Class A Ordinary Shares,Finance,Blank Checks,NASDAQ
1542,FNVTW,Finnovate Acquisition Corp. Warrants,Finance,Blank Checks,NASDAQ
1543,FNWB,First Northwest Bancorp Common Stock,Finance,Banks,NASDAQ
1544,FNWD,Finward Bancorp Common Stock,Finance,Savings Institutions,NASDAQ
1545,FOCS,Focus Financial Partners Inc. Class A Common Stock,Finance,Investment Managers,NASDAQ
1546,FOLD,Amicus Therapeutics Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,NASDAQ
1547,FONR,Fonar Corporation Common Stock,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,NASDAQ
1548,FORA,Forian Inc. Common Stock,Technology,Computer Software: Prepackaged Software,NASDAQ
1550,FORM,FormFactor Inc. FormFactor Inc. Common Stock,Technology,Semiconductors,NASDAQ
1551,FORR,Forrester Research Inc. Common Stock,Consumer Discretionary,EDP Services,NASDAQ
1552,FORTY,Formula Systems (1985) Ltd. American Depositary Shares,Technology,EDP Services,NASDAQ
1553,FOSL,Fossil Group Inc. Common Stock,Consumer Discretionary,Consumer Specialties,NASDAQ
1554,FOSLL,Fossil Group Inc. 7% Senior Notes due 2026,Consumer Discretionary,Consumer Specialties,NASDAQ
1555,FOX,Fox Corporation Class B Common Stock,Industrials,Broadcasting,NASDAQ
1556,FOXA,Fox Corporation Class A Common Stock,Industrials,Broadcasting,NASDAQ
1557,FOXF,Fox Factory Holding Corp. Common Stock,Consumer Discretionary,Auto Parts:O.E.M.,NASDAQ
1558,FPAY,FlexShopper Inc. Common Stock,Consumer Discretionary,Consumer Electronics/Video Chains,NASDAQ
1559,FRAF,Franklin Financial Services Corporation Common Stock,Finance,Major Banks,NASDAQ
1560,FRBA,First Bank Common Stock,Finance,Major Banks,NASDAQ
1561,FRBK,Republic First Bancorp Inc. Common Stock,Finance,Major Banks,NASDAQ
1562,FRBN,Forbion European Acquisition Corp. Class A Ordinary Shares,Finance,Blank Checks,NASDAQ
1563,FRBNU,Forbion European Acquisition Corp. Unit,Finance,Blank Checks,NASDAQ
1564,FRBNW,Forbion European Acquisition Corp. Warrants,Finance,Blank Checks,NASDAQ
1565,FREE,Whole Earth Brands Inc. Class A Common Stock,Miscellaneous,Home Furnishings,NASDAQ
1566,FREEW,Whole Earth Brands Inc. Warrant,Miscellaneous,Home Furnishings,NASDAQ
