Period as of,Assets,Liabilities,Equity,Paid-up Capital,Revenue,Profit (Loss) from Other Activities,Net Profit,EPS (Baht),ROA (%),ROE (%),Net Profit Margin (%),Symbol
Y/E 2021 31 Dec 2021,4324.25,785.43,3538.82,658.43,3434.56,52.5,460.88,0.7,13.74,13.57,13.42,HFT
9M/2022 30 Sep 2022,4231.63,579.06,3652.57,658.43,2646.92,122.35,379.23,0.58,14.2,13.79,14.33,HFT
Y/E 2018 31 Dec 2018,3393.64,1763.99,1629.65,553.52,2394.59,10.23,292.76,0.54,11.48,18.9,12.23,IHL
Y/E 2019 31 Dec 2019,3771.42,2127.57,1643.85,592.81,1571.01,-,141.75,0.25,5.38,8.66,9.02,IHL
Y/E 2020 31 Dec 2020,3643.44,2106.18,1537.26,592.81,1337.88,-,-44.31,-0.07,-0.11,-2.79,-3.31,IHL
Y/E 2021 31 Dec 2021,3669.16,2050.85,1618.31,592.81,1720.44,-,140.74,0.24,5.34,8.92,8.18,IHL
9M/2022 30 Sep 2022,3789.12,2132.51,1656.61,592.81,1491.25,-,97.58,0.16,5.60,8.24,6.54,IHL
Y/E 2019 31 Jan 2019,4242.06,1673.97,1758.39,1446.94,3274.62,16.79,54.05,0.04,3.68,3.09,2.33,INGRS
Y/E 2020 31 Jan 2020,4125.04,1662.73,1594.65,1446.94,2918.06,7.82,-76.09,-0.05,2.34,-4.54,-2.72,INGRS
Y/E 2021 31 Jan 2021,4891.07,2718.86,1329.61,1446.94,2224.97,-25.78,-221.92,-0.15,-4.08,-15.18,-11.68,INGRS
Y/E 2022 31 Jan 2022,6766.99,4522.68,1359.91,1446.94,2784.32,43.53,-208.7,-0.14,-3.14,-15.52,-10.6,INGRS
9M/2023 31 Oct 2022,7532.51,5536.03,1192.34,1446.94,3658.88,33.15,-177.61,-0.12,-3.33,-21.33,-7.2,INGRS
Y/E 2018 30 Sep 2018,5058.06,1461.76,3596.29,200.00,5614.13,-,358.62,1.79,8.93,10.23,6.39,IRC
Y/E 2019 30 Sep 2019,4848.78,1267.70,3581.07,200.00,5481.27,-,166.54,0.83,3.98,4.64,3.04,IRC
Y/E 2020 30 Sep 2020,4588.57,1039.57,3548.99,200.00,4433.89,-,219.06,1.12,5.60,6.14,4.94,IRC
Y/E 2021 30 Sep 2021,5295.37,1400.91,3894.46,200.00,5371.10,-,340.03,1.77,8.52,9.14,6.33,IRC
Y/E 2022 30 Sep 2022,5272.35,1440.32,3832.03,200.00,5951.10,-,109.94,0.57,2.32,2.85,1.85,IRC
Y/E 2018 31 Dec 2018,5587.01,547.51,5039.53,1525.0,5698.92,-67.45,340.79,0.22,6.23,6.72,5.98,PCSGH
Y/E 2019 31 Dec 2019,5437.23,658.3,4779.72,1525.0,5340.0,-102.39,75.92,0.05,1.16,1.55,1.41,PCSGH
Y/E 2020 31 Dec 2020,5737.97,1005.50,4733.65,1525.00,4005.75,-,253.79,0.17,5.27,5.34,6.33,PCSGH
Y/E 2021 31 Dec 2021,5636.40,1010.96,4625.44,1525.00,4127.83,-,504.04,0.33,11.19,10.77,12.20,PCSGH
9M/2022 30 Sep 2022,5589.45,895.19,4694.27,1525.0,3320.0,-5.09,516.1,0.34,11.51,11.06,15.55,PCSGH
Y/E 2021 31 Dec 2021,1134.9,547.68,587.22,330.0,787.08,-0.73,120.93,36.65,13.68,20.59,15.36,POLY
9M/2022 30 Sep 2022,1214.93,810.85,404.07,330.0,790.41,24.46,122.48,0.37,16.75,37.86,15.5,POLY
Y/E 2018 31 Dec 2018,9064.76,2178.12,6886.64,425.19,8304.44,92.38,915.6,2.15,11.06,13.76,11.03,SAT
Y/E 2019 31 Dec 2019,9311.49,2108.2,7157.97,425.19,8198.37,58.96,894.64,2.11,10.98,12.74,10.96,SAT
Y/E 2020 31 Dec 2020,8955.31,1864.56,7042.27,425.19,6026.37,3.26,371.2,0.87,4.63,5.23,6.22,SAT
Y/E 2021 31 Dec 2021,9830.11,2187.7,7642.41,425.19,8717.74,82.32,952.65,2.24,11.92,12.97,10.96,SAT
9M/2022 30 Sep 2022,10190.16,2425.24,7746.43,425.19,6831.51,17.62,728.47,1.71,10.87,11.94,10.64,SAT
Y/E 2018 31 Dec 2018,5444.69,386.67,5026.03,345.0,3273.32,17.08,379.13,1.1,8.91,7.71,11.59,SPG
Y/E 2019 31 Dec 2019,5502.25,377.06,5093.04,345.0,3018.47,12.29,306.52,0.89,7.04,6.06,10.16,SPG
Y/E 2020 31 Dec 2020,5749.52,492.88,5224.47,345.0,2635.61,1.51,372.86,1.08,8.3,7.23,14.15,SPG
Y/E 2021 31 Dec 2021,5998.25,600.35,5377.40,345.00,2953.04,-,460.03,1.33,9.84,8.68,15.63,SPG
9M/2022 30 Sep 2022,6098.29,565.94,5530.91,345.00,2286.06,-,302.62,0.88,7.86,6.93,13.26,SPG
Y/E 2019 31 Mar 2019,19254.5,3287.94,15966.56,383.13,14881.71,341.54,1977.76,25.81,13.43,12.97,13.29,STANLY
Y/E 2020 31 Mar 2020,20369.93,3048.12,17321.82,383.13,15397.21,335.45,1997.5,26.07,12.34,12.0,12.97,STANLY
Y/E 2021 31 Mar 2021,21542.61,2824.83,18717.78,383.13,11865.53,265.99,1061.34,13.85,6.19,5.89,8.94,STANLY
Y/E 2022 31 Mar 2022,23056.66,3029.88,20026.78,383.13,13705.14,301.91,1520.8,19.85,8.48,7.85,11.1,STANLY
6M/2023 30 Sep 2022,23319.04,2899.94,20419.1,383.13,6997.04,220.39,804.11,10.49,9.18,8.46,11.49,STANLY
Y/E 2018 31 Dec 2018,1134.88,727.32,407.56,214.00,1178.72,-,-36.75,-0.17,-2.54,-8.63,-3.12,TKT
Y/E 2019 31 Dec 2019,1161.31,727.34,433.98,214.00,1301.72,-,12.21,0.06,2.41,2.90,0.94,TKT
Y/E 2020 31 Dec 2020,1131.28,706.38,424.90,237.78,1018.83,-,-36.56,-0.17,-1.16,-8.51,-3.59,TKT
Y/E 2021 31 Dec 2021,1145.23,706.74,438.49,237.78,1231.93,-,13.59,0.06,2.99,3.15,1.10,TKT
9M/2022 30 Sep 2022,1388.08,735.98,652.10,237.78,1008.01,-,21.51,0.09,4.54,6.02,2.13,TKT
Y/E 2018 31 Dec 2018,1093.58,519.14,574.44,319.52,1131.16,-13.04,19.61,0.06,5.75,3.43,1.73,TNPC
Y/E 2019 31 Dec 2019,895.41,432.8,462.62,319.52,932.67,-0.77,-85.47,-0.27,-5.02,-16.48,-9.16,TNPC
Y/E 2020 31 Dec 2020,929.76,487.0,442.76,319.52,736.18,4.96,2.32,0.01,2.35,0.51,0.32,TNPC
Y/E 2021 31 Dec 2021,1089.29,568.47,520.82,319.52,1061.18,10.41,86.35,0.27,10.77,17.92,8.14,TNPC
9M/2022 30 Sep 2022,1247.3,716.25,531.05,340.81,1016.67,1.28,28.83,0.08,5.63,7.62,2.84,TNPC
Y/E 2018 31 Dec 2018,3926.73,584.17,3268.25,590.85,2574.68,2.11,181.47,0.31,5.33,5.64,7.32,TRU
Y/E 2019 31 Dec 2019,3979.63,529.69,3387.2,590.85,2633.28,8.11,281.13,0.48,7.38,8.45,10.78,TRU
Y/E 2020 31 Dec 2020,3697.24,416.61,3224.93,590.85,1583.65,-7.82,-91.36,-0.15,-2.2,-2.76,-5.73,TRU
Y/E 2021 31 Dec 2021,3850.32,503.41,3289.93,595.45,2019.31,20.67,78.43,0.13,2.86,2.41,3.95,TRU
9M/2022 30 Sep 2022,4253.92,630.37,3564.38,602.35,2235.0,43.23,305.41,0.51,10.14,9.68,13.79,TRU
Y/E 2018 30 Sep 2018,2487.48,803.38,1684.10,259.80,3140.39,-,250.85,0.97,10.36,14.89,7.99,TSC
Y/E 2019 30 Sep 2019,2340.53,696.27,1644.26,259.80,3071.43,-,219.96,0.85,9.71,13.22,7.16,TSC
Y/E 2020 30 Sep 2020,2177.8,604.38,1573.42,259.8,2046.38,2.23,82.36,0.32,3.87,5.12,4.02,TSC
Y/E 2021 30 Sep 2021,2320.41,729.13,1591.28,259.80,2613.11,-,237.11,0.91,10.56,14.98,9.07,TSC
Y/E 2022 30 Sep 2022,2380.11,834.50,1545.61,259.80,2702.50,-,208.61,0.80,9.16,13.30,7.72,TSC
Y/E 2018 31 Dec 2018,1048.32,237.76,810.56,300.00,677.44,-,73.80,0.12,9.27,9.30,10.89,ALLA
Y/E 2019 31 Dec 2019,1120.77,255.66,865.11,300.00,865.38,-,101.59,0.17,11.75,12.13,11.74,ALLA
Y/E 2020 31 Dec 2020,1023.45,175.19,848.26,300.00,544.07,-,43.15,0.07,5.05,5.04,7.93,ALLA
Y/E 2021 31 Dec 2021,1081.02,241.09,839.92,300.00,506.85,-,33.66,0.06,4.01,3.99,6.64,ALLA
9M/2022 30 Sep 2022,1062.56,221.04,841.52,300.00,470.06,-,31.60,0.05,6.33,6.50,6.72,ALLA
Y/E 2018 31 Dec 2018,2547.38,945.01,1614.14,550.00,3036.10,-,285.07,0.52,14.40,18.26,9.25,ASEFA
Y/E 2019 31 Dec 2019,2141.43,587.84,1573.27,550.00,2562.14,-,143.61,0.26,7.34,9.01,5.41,ASEFA
Y/E 2020 31 Dec 2020,2475.39,833.64,1662.25,550.00,2712.35,-,218.50,0.40,11.11,13.51,8.03,ASEFA
Y/E 2021 31 Dec 2021,2471.83,859.66,1636.71,550.00,2632.10,-,138.34,0.25,6.86,8.39,5.20,ASEFA
9M/2022 30 Sep 2022,2682.05,1134.25,1576.41,550.0,2171.44,-0.19,59.74,0.11,5.26,6.62,2.75,ASEFA
Y/E 2018 31 Dec 2018,1321.69,329.5,991.36,450.0,963.09,1.1,14.47,0.02,1.49,1.39,1.49,CPT
Y/E 2019 31 Dec 2019,1192.95,222.07,970.75,450.0,584.4,-1.43,-9.81,-0.01,-0.88,-1.0,-1.69,CPT
Y/E 2020 31 Dec 2020,1269.25,267.08,1002.04,450.0,949.5,1.35,5.53,0.01,0.71,0.56,0.58,CPT
Y/E 2021 31 Dec 2021,1334.35,430.78,903.45,450.0,787.29,0.95,-86.11,-0.1,-8.26,-9.04,-10.94,CPT
9M/2022 30 Sep 2022,1373.71,486.72,886.99,450.0,1107.34,1.36,-16.46,-0.02,-4.07,-4.83,-1.49,CPT
Y/E 2018 31 Dec 2018,2808.16,1736.99,1071.17,757.06,971.10,-,-163.31,-0.22,-3.87,-14.17,-16.82,CRANE
Y/E 2019 31 Dec 2019,2666.33,1563.19,1103.14,757.06,1266.69,-,28.93,0.04,2.81,2.66,2.28,CRANE
Y/E 2020 31 Dec 2020,2664.28,1552.24,1112.04,758.19,934.52,-,10.69,0.01,2.62,0.96,1.14,CRANE
Y/E 2021 31 Dec 2021,2264.98,1341.82,923.16,758.19,535.71,-,-190.08,-0.25,-8.00,-18.68,-35.48,CRANE
9M/2022 30 Sep 2022,2130.86,1321.32,809.54,758.19,405.29,-,-113.62,-0.15,-8.22,-24.14,-28.03,CRANE
Y/E 2018 31 Dec 2018,6087.17,1626.71,4370.19,1989.53,7982.84,34.76,287.49,0.72,5.94,6.68,3.3,CTW
Y/E 2019 31 Dec 2019,5273.44,1005.54,4237.48,1989.53,5994.55,37.47,77.24,0.19,1.88,1.79,0.7,CTW
Y/E 2020 31 Dec 2020,5468.43,962.25,4485.92,1989.53,4707.06,5.33,298.72,0.75,6.88,6.85,6.1,CTW
Y/E 2021 31 Dec 2021,6459.93,2527.93,3932.1,1989.53,6407.41,0.22,-403.77,-1.01,-8.26,-9.59,-6.57,CTW
9M/2022 30 Sep 2022,6248.02,2361.3,3884.02,1989.53,4591.6,1.81,25.31,0.06,-6.38,-8.9,0.61,CTW
Y/E 2018 31 Dec 2018,2956.1,1396.57,1559.53,480.0,6502.33,13.3,144.61,3.01,6.48,9.52,2.22,FMT
Y/E 2019 31 Dec 2019,2746.25,1140.51,1605.74,480.0,6071.86,-5.94,124.21,2.59,5.82,7.85,2.05,FMT
Y/E 2020 31 Dec 2020,3078.35,1506.25,1572.1,480.0,4808.76,-33.86,47.07,0.98,2.3,2.96,0.98,FMT
Y/E 2021 31 Dec 2021,3338.72,1620.78,1717.94,480.0,7205.35,216.74,219.51,4.57,9.0,13.34,3.05,FMT
9M/2022 30 Sep 2022,3307.1,1614.58,1692.52,480.0,6013.6,-17.48,78.59,1.64,5.5,7.68,1.31,FMT
Y/E 2018 31 Dec 2018,1659.55,436.93,1084.31,300.00,1117.55,-,174.29,0.58,15.45,16.83,18.66,HTECH
Y/E 2019 31 Dec 2019,1614.42,412.31,1069.95,300.00,965.81,-,51.03,0.17,5.83,4.74,6.68,HTECH
Y/E 2020 31 Dec 2020,1719.51,463.73,1103.93,300.00,959.28,-,64.80,0.22,6.25,5.96,7.95,HTECH
Y/E 2021 31 Dec 2021,1769.34,396.64,1210.00,300.00,1146.77,-,135.28,0.45,10.54,11.69,13.73,HTECH
9M/2022 30 Sep 2022,1854.95,382.08,1296.17,300.00,933.19,-,101.81,0.34,10.55,10.87,12.91,HTECH
Y/E 2018 31 Dec 2018,7142.11,5573.81,1568.3,1200.0,7476.17,6.54,-605.79,-0.51,-7.48,-31.94,-8.1,KKC
Y/E 2019 31 Dec 2019,6262.74,5523.69,739.05,1500.0,5954.48,7.07,-1123.73,-0.88,-13.1,-97.4,-18.87,KKC
Y/E 2020 31 Dec 2020,6733.08,5741.98,991.1,1500.0,5599.55,-20.49,-638.2,-0.43,-6.6,-73.77,-11.4,KKC
Y/E 2021 31 Dec 2021,6721.7,6220.08,501.62,1500.0,6714.41,-35.02,-521.32,-0.35,-4.9,-69.85,-7.76,KKC
9M/2022 30 Sep 2022,5886.25,5971.02,-84.77,1500.0,4779.84,32.31,-560.89,-0.37,-9.08,-253.36,-11.73,KKC
Y/E 2018 31 Dec 2018,3872.81,2326.20,1526.69,494.10,3901.33,-,-17.49,-0.04,0.95,-1.12,-0.37,PK
Y/E 2019 31 Dec 2019,4052.89,2590.02,1439.96,494.10,3751.47,-,-185.59,-0.45,-3.60,-12.51,-4.88,PK
Y/E 2020 31 Dec 2020,3626.33,2075.09,1524.36,494.10,3125.92,-,22.46,0.05,1.29,1.52,0.79,PK
Y/E 2021 31 Dec 2021,4289.12,2619.86,1644.48,600.24,3304.56,-,96.85,0.19,4.27,6.11,2.98,PK
9M/2022 30 Sep 2022,4003.66,2513.22,1468.01,600.24,1927.21,-,-139.78,-0.27,-1.99,-7.91,-7.32,PK
Y/E 2018 31 Dec 2018,4820.71,1860.77,2788.96,287.78,6635.07,-22.99,430.7,1.5,10.6,15.83,6.59,SNC
Y/E 2019 31 Dec 2019,5396.88,1999.12,3225.65,287.78,6720.62,508.93,722.11,2.51,16.41,24.01,10.81,SNC
Y/E 2020 31 Dec 2020,7769.74,4191.57,3482.67,287.78,9088.72,-4.22,407.67,1.42,7.17,12.15,4.54,SNC
Y/E 2021 31 Dec 2021,13946.74,9036.04,4785.41,362.22,15563.12,-,636.35,2.02,7.54,15.39,4.18,SNC
9M/2022 30 Sep 2022,11729.12,6662.23,4924.42,362.22,14631.22,73.14,537.14,1.48,8.65,15.26,3.79,SNC
Y/E 2018 31 Dec 2018,780.96,681.23,99.73,323.21,361.65,-,-183.65,-0.57,-19.14,-96.15,-50.78,STARK
Y/E 2019 31 Dec 2019,12654.69,10341.33,2267.72,14049.56,11607.71,155.21,123.92,0.01,13.25,10.47,2.08,STARK
Y/E 2020 31 Dec 2020,27316.49,23552.77,3708.5,11906.4,16917.68,500.15,1608.66,0.14,13.5,53.84,9.57,STARK
Y/E 2021 31 Dec 2021,39142.11,32550.85,6504.61,11906.4,27129.64,-1.95,2783.11,0.23,13.46,54.5,10.3,STARK
9M/2022 30 Sep 2022,47096.41,38362.3,8631.14,11906.4,21877.25,25.19,2216.47,0.19,12.57,43.28,10.21,STARK
Y/E 2018 31 Dec 2018,3028.40,1185.32,1513.77,1055.96,1182.79,-,14.51,0.14,3.07,0.96,2.81,TCJ
Y/E 2019 31 Dec 2019,2780.99,1004.80,1446.01,1055.96,1096.15,-,-66.56,-0.63,-0.58,-4.50,-5.99,TCJ
Y/E 2020 31 Dec 2020,2794.91,992.34,1457.08,1055.96,1192.60,-,11.70,0.11,2.35,0.81,2.26,TCJ
Y/E 2021 31 Dec 2021,2912.9,1142.62,1402.85,1055.96,1388.95,-8.4,-64.44,-0.61,1.99,-4.51,-3.06,TCJ
9M/2022 30 Sep 2022,2831.36,1016.55,1403.99,1055.96,1322.45,-11.99,-0.26,0.0,3.69,-3.72,3.26,TCJ
Y/E 2018 31 Dec 2018,2723.27,318.84,2310.64,108.0,1027.2,-18.25,80.75,0.75,3.26,3.49,7.89,TPCS
Y/E 2019 31 Dec 2019,2572.99,290.68,2265.48,108.0,946.6,-1.04,74.6,0.69,2.94,3.26,7.9,TPCS
Y/E 2020 31 Dec 2020,2616.72,258.14,2342.8,108.0,818.66,-112.54,-19.51,-0.18,-1.58,-0.85,-2.51,TPCS
Y/E 2021 31 Dec 2021,2879.09,270.4,2578.12,108.0,1007.93,-9.14,106.73,0.99,4.48,4.34,10.57,TPCS
9M/2022 30 Sep 2022,3016.35,336.23,2656.34,108.0,1400.74,-78.87,227.9,2.11,8.67,10.37,15.79,TPCS
Y/E 2018 31 Dec 2018,1886.42,809.23,1077.19,499.51,1800.44,44.6,27.59,0.28,2.56,2.57,1.53,VARO
Y/E 2019 31 Dec 2019,1720.58,807.2,913.38,499.51,1573.28,30.65,-148.87,-1.49,-7.26,-14.96,-9.46,VARO
Y/E 2020 31 Dec 2020,1649.71,873.12,776.59,499.51,1027.3,12.83,-138.21,-1.38,-7.33,-16.36,-13.45,VARO
Y/E 2021 31 Dec 2021,2839.14,2058.68,780.46,499.51,2587.55,-,3.87,0.04,0.86,0.50,0.15,VARO
9M/2022 30 Sep 2022,2509.19,1630.00,879.20,499.51,3074.31,-,-58.06,-0.58,-0.22,-4.93,-1.89,VARO
Y/E 2018 31 Dec 2018,3537.22,861.05,2676.17,650.0,3758.99,3.71,777.17,1.2,24.77,31.48,20.68,UTP
Y/E 2019 31 Dec 2019,3468.97,319.64,3149.33,650.0,3424.47,5.97,863.13,1.33,27.94,29.63,25.2,UTP
Y/E 2020 31 Dec 2020,3904.19,448.64,3455.55,650.00,3606.46,-,1011.42,1.56,31.44,30.63,28.04,UTP
Y/E 2021 31 Dec 2021,4277.06,416.50,3860.56,650.00,4622.64,-,917.43,1.41,25.62,25.08,19.85,UTP
9M/2022 30 Sep 2022,4564.61,437.02,4127.59,650.00,3966.09,-,747.93,1.15,23.44,22.94,18.86,UTP
Y/E 2019 31 Mar 2019,19860.28,1491.87,18368.41,300.0,9115.13,780.59,2584.87,8.62,16.01,14.9,28.36,BCT
Y/E 2020 31 Mar 2020,21488.9,1400.38,20088.53,300.0,8016.47,863.78,2394.26,7.98,13.79,12.45,29.87,BCT
Y/E 2021 31 Mar 2021,22402.81,1593.95,20808.86,300.0,5495.52,-142.54,1036.42,3.45,5.52,5.07,18.86,BCT
Y/E 2022 31 Mar 2022,27858.28,2835.27,25023.01,300.0,10678.39,2657.27,4287.32,14.29,19.34,18.71,40.15,BCT
6M/2023 30 Sep 2022,32211.12,4206.96,28004.16,300.0,6831.22,3080.26,3700.72,12.34,22.06,21.7,54.17,BCT
Y/E 2018 31 Dec 2018,3824.3,1601.31,2219.12,960.0,2445.51,-1.9,162.63,0.18,5.96,9.46,6.59,CMAN
Y/E 2019 31 Dec 2019,5601.52,3402.88,2126.89,960.0,2398.02,-33.66,0.81,0.0,0.88,0.04,-0.12,CMAN
Y/E 2020 31 Dec 2020,6103.34,4007.0,1994.7,960.0,2282.67,-26.12,-119.61,-0.12,-0.98,-5.8,-5.99,CMAN
Y/E 2021 31 Dec 2021,7022.38,4729.95,2189.88,960.0,3148.81,-5.98,98.32,0.1,3.09,4.7,2.93,CMAN
9M/2022 30 Sep 2022,6969.1,4554.61,2330.1,960.0,2992.74,0.48,151.62,0.16,4.29,6.15,4.38,CMAN
Y/E 2018 31 Dec 2018,1268.46,817.54,450.93,200.0,3668.03,5.07,85.85,0.43,9.89,19.17,2.34,GC
Y/E 2019 31 Dec 2019,1184.7,706.99,477.72,200.0,3614.5,9.0,114.79,0.57,12.55,24.72,3.18,GC
Y/E 2020 31 Dec 2020,1453.43,931.67,521.76,200.0,3603.2,9.84,136.04,0.68,13.33,27.22,3.78,GC
Y/E 2021 31 Dec 2021,1807.95,1258.07,549.88,200.00,4999.93,-,189.13,0.95,14.93,35.30,3.78,GC
9M/2022 30 Sep 2022,1942.04,1396.81,545.23,220.00,4322.80,-,133.35,0.30,12.41,32.90,3.08,GC
Y/E 2018 31 Dec 2018,13084.46,3376.79,9707.67,10236.67,16368.04,107.86,-1160.77,-1.13,-10.47,-11.17,-7.09,GGC
Y/E 2019 31 Dec 2019,12931.33,3283.19,9648.14,9724.83,13172.25,26.16,94.02,0.09,2.27,0.97,0.71,GGC
Y/E 2020 31 Dec 2020,13239.17,3246.05,9993.13,9724.83,18261.85,79.78,560.14,0.55,4.92,5.7,3.07,GGC
Y/E 2021 31 Dec 2021,13516.5,3546.13,9970.37,9724.83,20995.23,91.87,330.22,0.32,3.52,3.31,1.57,GGC
9M/2022 30 Sep 2022,13359.45,3024.53,10334.91,9724.83,20631.06,11.78,978.74,0.96,9.27,8.74,4.74,GGC
Y/E 2018 31 Dec 2018,1056.19,282.31,773.58,412.81,789.94,3.69,102.19,0.26,13.19,14.07,12.94,GIFT
Y/E 2019 31 Dec 2019,1011.2,217.36,793.84,412.81,740.41,2.03,110.09,0.27,13.65,14.05,14.87,GIFT
Y/E 2020 31 Dec 2020,650.54,43.9,606.65,412.81,422.22,0.46,11.71,0.03,2.17,1.67,2.77,GIFT
Y/E 2021 31 Dec 2021,546.78,35.02,511.76,330.81,171.79,0.16,-31.13,-0.09,-5.1,-5.57,-18.11,GIFT
9M/2022 30 Sep 2022,514.17,14.32,499.85,330.81,110.92,0.02,-5.99,-0.02,-3.35,-3.49,-5.4,GIFT
Y/E 2018 31 Dec 2018,379194.83,227339.48,144837.79,5614.55,351299.15,1172.1,26465.4,4.61,10.39,20.21,7.5,IVL
Y/E 2019 31 Dec 2019,380567.91,242400.62,129711.92,5614.55,355864.78,-290.81,5252.11,0.76,3.03,3.83,1.23,IVL
Y/E 2020 31 Dec 2020,453171.51,317563.72,126655.0,5614.55,336542.78,262.25,2414.28,0.3,2.21,1.88,0.83,IVL
Y/E 2021 31 Dec 2021,541828.24,370824.81,158768.67,5614.55,473072.95,-136.95,26288.03,4.55,8.46,18.42,5.97,IVL
9M/2022 30 Sep 2022,714864.22,485384.83,211663.02,5614.55,519943.98,1100.51,42484.87,7.47,11.48,26.07,8.89,IVL
Y/E 2018 31 Dec 2018,1426.58,415.49,1012.31,815.87,1195.13,-,51.40,0.05,3.32,5.21,4.26,NFC
Y/E 2019 31 Dec 2019,1202.47,268.72,935.43,815.87,1208.96,-,-34.49,-0.03,1.34,-3.54,-2.89,NFC
Y/E 2020 31 Dec 2020,2839.62,1914.28,927.51,815.87,735.74,-,-8.76,-0.01,0.15,-0.94,-1.26,NFC
Y/E 2021 31 Dec 2021,3696.94,2420.06,1279.74,815.87,1837.82,-,352.89,0.32,13.62,31.98,19.16,NFC
9M/2022 30 Sep 2022,7301.45,5937.90,1363.55,815.88,2163.33,-,87.27,0.08,9.86,36.62,4.01,NFC
Y/E 2018 31 Dec 2018,791.31,204.32,587.0,142.37,818.16,4.57,158.01,1.11,26.2,26.27,19.31,PATO
Y/E 2019 31 Dec 2019,642.12,114.67,527.45,142.37,570.6,10.49,86.73,0.61,15.22,15.56,15.2,PATO
Y/E 2020 31 Dec 2020,608.95,86.47,522.48,142.37,555.12,2.17,81.79,0.57,16.38,15.58,14.73,PATO
Y/E 2021 31 Dec 2021,685.62,113.73,571.89,142.37,655.03,-5.1,118.7,0.83,22.72,21.69,18.12,PATO
9M/2022 30 Sep 2022,602.49,121.21,481.27,142.37,326.56,-7.96,32.27,0.23,11.98,12.31,9.88,PATO
Y/E 2018 31 Dec 2018,2121.23,610.59,1510.63,1012.00,2783.35,-,37.68,0.37,2.85,2.45,1.35,PMTA
Y/E 2019 31 Dec 2019,2027.39,608.16,1419.22,1012.00,2885.19,-,44.09,0.44,3.71,3.01,1.53,PMTA
Y/E 2020 31 Dec 2020,2072.56,616.18,1456.39,1012.00,2848.12,-,93.85,0.93,6.93,6.53,3.30,PMTA
Y/E 2021 31 Dec 2021,2439.79,768.05,1671.73,1012.0,3940.06,26.96,133.32,1.32,8.14,8.52,3.38,PMTA
9M/2022 30 Sep 2022,3043.48,1240.07,1803.41,1012.0,3159.68,-0.43,58.73,0.58,6.19,7.04,1.86,PMTA
Y/E 2018 31 Dec 2018,469255.35,165773.14,296045.76,45088.49,522331.65,7402.36,40069.49,8.89,10.36,14.04,7.71,PTTGC
Y/E 2019 31 Dec 2019,452514.39,158919.04,285830.17,45088.49,415160.4,7813.13,11682.08,2.59,3.5,4.02,2.97,PTTGC
Y/E 2020 31 Dec 2020,489382.65,200388.69,281015.11,45088.49,331571.29,4144.26,199.61,0.04,0.86,0.07,0.2,PTTGC
Y/E 2021 31 Dec 2021,754115.49,426512.33,318241.84,45088.49,491490.37,635.51,44982.39,10.01,9.44,15.01,9.27,PTTGC
9M/2022 30 Sep 2022,742464.19,440358.13,292678.99,45088.49,559731.67,-24774.49,-7784.25,-1.73,0.81,-1.5,-1.19,PTTGC
Y/E 2018 31 Dec 2018,1440.79,851.05,589.74,300.0,1119.58,1.06,84.56,0.28,9.78,14.45,7.55,SUTHA
Y/E 2019 31 Dec 2019,1341.44,854.16,487.29,300.0,977.32,-0.42,7.17,0.02,3.13,1.33,0.73,SUTHA
Y/E 2020 31 Dec 2020,2216.29,1605.84,609.33,300.0,1293.57,0.64,207.08,0.69,13.79,37.77,16.01,SUTHA
Y/E 2021 31 Dec 2021,2232.89,1607.1,624.76,300.0,1191.89,15.93,51.16,0.17,3.95,8.29,4.29,SUTHA
9M/2022 30 Sep 2022,2239.85,1525.61,713.21,300.0,1141.33,1.14,88.45,0.29,3.84,13.2,7.75,SUTHA
Y/E 2018 31 Dec 2018,11127.35,1200.62,9833.0,1754.14,10411.52,46.24,1331.14,2.28,15.28,13.65,12.96,TCCC
Y/E 2019 31 Dec 2019,11031.93,1098.54,9841.47,1754.14,8910.59,10.7,922.29,1.58,10.77,9.38,10.54,TCCC
Y/E 2020 31 Dec 2020,12147.23,1381.01,10672.68,1754.14,9513.52,29.13,1472.32,2.52,16.18,14.35,15.67,TCCC
Y/E 2021 31 Dec 2021,12809.83,1494.75,11215.24,1754.14,12211.27,0.17,1578.67,2.7,16.17,14.43,13.13,TCCC
9M/2022 30 Sep 2022,13366.58,2196.77,11076.87,1754.14,11177.83,-0.1,840.28,1.44,9.7,8.86,7.67,TCCC
Y/E 2018 31 Dec 2018,889.54,355.89,533.66,121.50,1167.47,-,-39.06,-0.32,-5.26,-6.83,-3.35,TPA
Y/E 2019 31 Dec 2019,751.25,242.54,508.71,121.50,945.82,-,33.05,0.27,5.04,6.34,3.49,TPA
Y/E 2020 31 Dec 2020,869.14,358.19,510.95,121.50,936.60,-,57.91,0.48,9.01,11.36,6.18,TPA
Y/E 2021 31 Dec 2021,713.05,233.86,479.19,121.50,909.80,-,18.21,0.15,2.88,3.68,2.00,TPA
9M/2022 30 Sep 2022,617.33,213.72,403.61,121.50,573.27,-,-20.90,-0.17,-2.92,-4.32,-3.65,TPA
Y/E 2018 31 Dec 2018,4032.66,2728.63,1269.08,333.8,2608.91,59.13,139.58,0.21,6.76,10.98,5.23,UAC
Y/E 2019 31 Dec 2019,3045.07,1601.23,1392.73,333.8,2903.58,72.51,163.88,0.25,6.69,12.31,5.29,UAC
